crop_path,word_text,char_indices,word_length,language
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word1.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word2.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word3.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word4.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word5.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word6.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word7.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word8.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word9.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word10.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word11.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word12.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word13.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word14.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word15.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word16.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word17.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word18.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word19.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word20.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word21.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word22.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\1f11c111-f08a-4ab1-80e8-afcc0ab0d5ee_word1.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\1f11c111-f08a-4ab1-80e8-afcc0ab0d5ee_word2.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\1f11c111-f08a-4ab1-80e8-afcc0ab0d5ee_word3.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\1f11c111-f08a-4ab1-80e8-afcc0ab0d5ee_word4.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\1f11c111-f08a-4ab1-80e8-afcc0ab0d5ee_word5.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\1f11c111-f08a-4ab1-80e8-afcc0ab0d5ee_word6.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\1f11c111-f08a-4ab1-80e8-afcc0ab0d5ee_word7.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\1f11c111-f08a-4ab1-80e8-afcc0ab0d5ee_word8.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\1f11c111-f08a-4ab1-80e8-afcc0ab0d5ee_word9.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\1f11c111-f08a-4ab1-80e8-afcc0ab0d5ee_word10.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\1f11c111-f08a-4ab1-80e8-afcc0ab0d5ee_word11.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\1f11c111-f08a-4ab1-80e8-afcc0ab0d5ee_word12.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\1f11c111-f08a-4ab1-80e8-afcc0ab0d5ee_word13.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\1f11c111-f08a-4ab1-80e8-afcc0ab0d5ee_word14.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\1f11c111-f08a-4ab1-80e8-afcc0ab0d5ee_word15.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\2af6ac36-4fa8-4f13-8223-e6511517dd48_word1.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\2af6ac36-4fa8-4f13-8223-e6511517dd48_word2.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\2af6ac36-4fa8-4f13-8223-e6511517dd48_word3.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\2af6ac36-4fa8-4f13-8223-e6511517dd48_word4.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\2af6ac36-4fa8-4f13-8223-e6511517dd48_word5.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\2af6ac36-4fa8-4f13-8223-e6511517dd48_word6.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\2af6ac36-4fa8-4f13-8223-e6511517dd48_word7.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\2af6ac36-4fa8-4f13-8223-e6511517dd48_word8.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\2af6ac36-4fa8-4f13-8223-e6511517dd48_word9.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\2af6ac36-4fa8-4f13-8223-e6511517dd48_word10.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\2af6ac36-4fa8-4f13-8223-e6511517dd48_word11.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\2af6ac36-4fa8-4f13-8223-e6511517dd48_word12.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\2af6ac36-4fa8-4f13-8223-e6511517dd48_word13.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\merged_all_highboost\crops\2af6ac36-4fa8-4f13-8223-e6511517dd48_word14.jpg,,,0,english
